Customer_ID,Country,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore,Category
113.0,Country 1,4,15.0,635,1,1,1,111,Best Customers
114.0,All,4,15.0,585,1,1,1,111,Best Customers
114.0,Country 1,4,15.0,585,1,1,1,111,Best Customers
115.0,All,4,15.0,1475,1,1,1,111,Best Customers
115.0,Country 1,4,15.0,1475,1,1,1,111,Best Customers
116.0,All,4,15.0,1335,1,1,1,111,Best Customers
116.0,Country 1,4,15.0,1335,1,1,1,111,Best Customers
117.0,All,32,14.0,546,2,1,1,211,Loyal Customers
117.0,Country 1,32,14.0,546,2,1,1,211,Loyal Customers
118.0,All,124,11.0,979,4,1,1,411,Lost Customers
118.0,Country 1,124,11.0,979,4,1,1,411,Lost Customers
119.0,All,2,15.0,585,1,1,1,111,Best Customers
119.0,Country 1,2,15.0,585,1,1,1,111,Best Customers
120.0,All,2,15.0,1335,1,1,1,111,Best Customers
120.0,Country 1,2,15.0,1335,1,1,1,111,Best Customers
121.0,All,2,15.0,585,1,1,1,111,Best Customers
121.0,Country 1,2,15.0,585,1,1,1,111,Best Customers
122.0,All,2,15.0,585,1,1,1,111,Best Customers
122.0,Country 1,2,15.0,585,1,1,1,111,Best Customers
123.0,All,2,15.0,585,1,1,1,111,Best Customers
123.0,Country 1,2,15.0,585,1,1,1,111,Best Customers
124.0,All,2,15.0,585,1,1,1,111,Best Customers
124.0,Country 1,2,15.0,585,1,1,1,111,Best Customers
125.0,All,2,15.0,585,1,1,1,111,Best Customers
125.0,Country 1,2,15.0,585,1,1,1,111,Best Customers
126.0,All,2,15.0,1335,1,1,1,111,Best Customers
126.0,Country 1,2,15.0,1335,1,1,1,111,Best Customers
127.0,All,2,15.0,1335,1,1,1,111,Best Customers
127.0,Country 1,2,15.0,1335,1,1,1,111,Best Customers
128.0,All,2,15.0,1335,1,1,1,111,Best Customers
128.0,Country 1,2,15.0,1335,1,1,1,111,Best Customers
129.0,All,2,15.0,1485,1,1,1,111,Best Customers
129.0,Country 1,2,15.0,1485,1,1,1,111,Best Customers
130.0,All,30,14.0,546,2,1,1,211,Loyal Customers
130.0,Country 1,30,14.0,546,2,1,1,211,Loyal Customers
131.0,All,30,14.0,546,2,1,1,211,Loyal Customers
131.0,Country 1,30,14.0,546,2,1,1,211,Loyal Customers
132.0,All,30,14.0,546,2,1,1,211,Loyal Customers
132.0,Country 1,30,14.0,546,2,1,1,211,Loyal Customers
133.0,All,30,14.0,546,2,1,1,211,Loyal Customers
133.0,Country 1,30,14.0,546,2,1,1,211,Loyal Customers
134.0,All,30,14.0,546,2,1,1,211,Loyal Customers
134.0,Country 1,30,14.0,546,2,1,1,211,Loyal Customers
135.0,All,183,9.0,351,4,1,2,412,Loyal Customers
135.0,Country 1,183,9.0,351,4,1,2,412,Loyal Customers
136.0,All,214,8.0,712,4,1,1,411,Lost Customers
136.0,Country 1,214,8.0,712,4,1,1,411,Lost Customers
137.0,All,92,12.0,1068,3,1,1,311,Almost Lost
137.0,Country 1,92,12.0,1068,3,1,1,311,Almost Lost
138.0,All,30,14.0,1386,2,1,1,211,Loyal Customers
138.0,Country 1,30,14.0,1386,2,1,1,211,Loyal Customers
139.0,All,153,10.0,890,4,1,1,411,Lost Customers
139.0,Country 1,153,10.0,890,4,1,1,411,Lost Customers
140.0,All,30,14.0,1246,2,1,1,211,Loyal Customers
140.0,Country 1,30,14.0,1246,2,1,1,211,Loyal Customers
141.0,All,30,14.0,546,2,1,1,211,Loyal Customers
141.0,Country 1,30,14.0,546,2,1,1,211,Loyal Customers
