Customer_ID,Country,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
119.0,Country 1,2,15.0,585,1,1,1,111
120.0,All,2,15.0,1335,1,1,1,111
120.0,Country 1,2,15.0,1335,1,1,1,111
121.0,All,2,15.0,585,1,1,1,111
121.0,Country 1,2,15.0,585,1,1,1,111
122.0,All,2,15.0,585,1,1,1,111
122.0,Country 1,2,15.0,585,1,1,1,111
123.0,All,2,15.0,585,1,1,1,111
123.0,Country 1,2,15.0,585,1,1,1,111
124.0,All,2,15.0,585,1,1,1,111
124.0,Country 1,2,15.0,585,1,1,1,111
125.0,All,2,15.0,585,1,1,1,111
125.0,Country 1,2,15.0,585,1,1,1,111
126.0,All,2,15.0,1335,1,1,1,111
126.0,Country 1,2,15.0,1335,1,1,1,111
127.0,All,2,15.0,1335,1,1,1,111
127.0,Country 1,2,15.0,1335,1,1,1,111
128.0,All,2,15.0,1335,1,1,1,111
128.0,Country 1,2,15.0,1335,1,1,1,111
129.0,All,2,15.0,1485,1,1,1,111
129.0,Country 1,2,15.0,1485,1,1,1,111
130.0,All,30,14.0,546,2,1,1,211
130.0,Country 1,30,14.0,546,2,1,1,211
131.0,All,30,14.0,546,2,1,1,211
131.0,Country 1,30,14.0,546,2,1,1,211
132.0,All,30,14.0,546,2,1,1,211
132.0,Country 1,30,14.0,546,2,1,1,211
133.0,All,30,14.0,546,2,1,1,211
133.0,Country 1,30,14.0,546,2,1,1,211
134.0,All,30,14.0,546,2,1,1,211
134.0,Country 1,30,14.0,546,2,1,1,211
135.0,All,183,9.0,351,4,1,2,412
135.0,Country 1,183,9.0,351,4,1,2,412
136.0,All,214,8.0,712,4,1,1,411
136.0,Country 1,214,8.0,712,4,1,1,411
137.0,All,92,12.0,1068,3,1,1,311
137.0,Country 1,92,12.0,1068,3,1,1,311
138.0,All,30,14.0,1386,2,1,1,211
138.0,Country 1,30,14.0,1386,2,1,1,211
139.0,All,153,10.0,890,4,1,1,411
139.0,Country 1,153,10.0,890,4,1,1,411
140.0,All,30,14.0,1246,2,1,1,211
140.0,Country 1,30,14.0,1246,2,1,1,211
141.0,All,30,14.0,546,2,1,1,211
141.0,Country 1,30,14.0,546,2,1,1,211
142.0,All,30,14.0,546,2,1,1,211
142.0,Country 1,30,14.0,546,2,1,1,211
143.0,All,213,8.0,712,4,1,1,411
143.0,Country 1,213,8.0,712,4,1,1,411
144.0,All,60,13.0,1157,3,1,1,311
144.0,Country 1,60,13.0,1157,3,1,1,311
145.0,All,60,13.0,1287,3,1,1,311
145.0,Country 1,60,13.0,1287,3,1,1,311
146.0,All,182,9.0,351,4,1,2,412
146.0,Country 1,182,9.0,351,4,1,2,412
147.0,All,59,13.0,507,3,1,1,311
147.0,Country 1,59,13.0,507,3,1,1,311
148.0,All,182,9.0,801,4,1,1,411
148.0,Country 1,182,9.0,801,4,1,1,411
149.0,All,28,14.0,546,2,1,1,211
149.0,Country 1,28,14.0,546,2,1,1,211
150.0,All,180,9.0,801,4,1,1,411
150.0,Country 1,180,9.0,801,4,1,1,411
151.0,All,28,14.0,1386,2,1,1,211
151.0,Country 1,28,14.0,1386,2,1,1,211
152.0,All,27,14.0,546,2,1,1,211
152.0,Country 1,27,14.0,546,2,1,1,211
153.0,All,209,8.0,312,4,1,2,412
153.0,Country 1,209,8.0,312,4,1,2,412
154.0,All,179,9.0,351,4,1,2,412
154.0,Country 1,179,9.0,351,4,1,2,412
155.0,All,148,10.0,390,4,1,2,412
155.0,Country 1,148,10.0,390,4,1,2,412
156.0,All,56,13.0,1157,3,1,1,311
156.0,Country 1,56,13.0,1157,3,1,1,311
157.0,All,56,13.0,507,3,1,1,311
157.0,Country 1,56,13.0,507,3,1,1,311
158.0,All,56,13.0,1287,3,1,1,311
158.0,Country 1,56,13.0,1287,3,1,1,311
159.0,All,55,13.0,507,3,1,1,311
159.0,Country 1,55,13.0,507,3,1,1,311
160.0,All,208,8.0,312,4,1,2,412
160.0,Country 1,208,8.0,312,4,1,2,412
161.0,All,178,9.0,351,4,1,2,412
161.0,Country 1,178,9.0,351,4,1,2,412
162.0,All,178,9.0,351,4,1,2,412
162.0,Country 1,178,9.0,351,4,1,2,412
163.0,All,55,13.0,507,3,1,1,311
163.0,Country 1,55,13.0,507,3,1,1,311
164.0,All,177,9.0,351,4,1,2,412
164.0,Country 1,177,9.0,351,4,1,2,412
165.0,All,54,13.0,1157,3,1,1,311
165.0,Country 1,54,13.0,1157,3,1,1,311
166.0,All,54,13.0,1157,3,1,1,311
166.0,Country 1,54,13.0,1157,3,1,1,311
167.0,All,54,13.0,1287,3,1,1,311
167.0,Country 1,54,13.0,1287,3,1,1,311
168.0,All,177,9.0,351,4,1,2,412
168.0,Country 1,177,9.0,351,4,1,2,412
169.0,All,53,13.0,507,3,1,1,311
169.0,Country 1,53,13.0,507,3,1,1,311
170.0,All,53,13.0,1287,3,1,1,311
170.0,Country 1,53,13.0,1287,3,1,1,311
171.0,All,52,13.0,507,3,1,1,311
171.0,Country 1,52,13.0,507,3,1,1,311
172.0,All,52,13.0,507,3,1,1,311
172.0,Country 1,52,13.0,507,3,1,1,311
173.0,All,50,13.0,1157,3,1,1,311
173.0,Country 1,50,13.0,1157,3,1,1,311
174.0,All,20,14.0,546,2,1,1,211
174.0,Country 1,20,14.0,546,2,1,1,211
