Acquisition_Date_2,Subscription_Date_2,Country,TotalUsers,CohortPeriod
2015-09,2015-09,Country 1,334.0,1
2015-09,2015-09,Country 2,450.0,1
2015-09,2015-10,All,525.0,2
2015-09,2015-10,Country 1,243.0,2
2015-09,2015-10,Country 2,282.0,2
2015-09,2015-11,All,390.0,3
2015-09,2015-11,Country 1,213.0,3
2015-09,2015-11,Country 2,177.0,3
2015-09,2015-12,All,314.0,4
2015-09,2015-12,Country 1,183.0,4
2015-09,2015-12,Country 2,131.0,4
2015-09,2016-01,All,252.0,5
2015-09,2016-01,Country 1,150.0,5
2015-09,2016-01,Country 2,102.0,5
2015-09,2016-02,All,199.0,6
2015-09,2016-02,Country 1,107.0,6
2015-09,2016-02,Country 2,92.0,6
2015-09,2016-03,All,158.0,7
2015-09,2016-03,Country 1,87.0,7
2015-09,2016-03,Country 2,71.0,7
2015-10,2015-10,All,575.0,1
2015-10,2015-10,Country 1,293.0,1
2015-10,2015-10,Country 2,282.0,1
2015-10,2015-11,All,362.0,2
2015-10,2015-11,Country 1,218.0,2
2015-10,2015-11,Country 2,144.0,2
2015-10,2015-12,All,271.0,3
2015-10,2015-12,Country 1,176.0,3
2015-10,2015-12,Country 2,95.0,3
2015-10,2016-01,All,225.0,4
2015-10,2016-01,Country 1,158.0,4
2015-10,2016-01,Country 2,67.0,4
2015-10,2016-02,All,177.0,5
2015-10,2016-02,Country 1,120.0,5
2015-10,2016-02,Country 2,57.0,5
2015-10,2016-03,All,133.0,6
2015-10,2016-03,Country 1,90.0,6
2015-10,2016-03,Country 2,43.0,6
2015-11,2015-11,All,463.0,1
2015-11,2015-11,Country 1,224.0,1
2015-11,2015-11,Country 2,239.0,1
2015-11,2015-12,All,294.0,2
2015-11,2015-12,Country 1,168.0,2
2015-11,2015-12,Country 2,126.0,2
2015-11,2016-01,All,251.0,3
2015-11,2016-01,Country 1,154.0,3
2015-11,2016-01,Country 2,97.0,3
2015-11,2016-02,All,188.0,4
2015-11,2016-02,Country 1,118.0,4
2015-11,2016-02,Country 2,70.0,4
2015-11,2016-03,All,147.0,5
2015-11,2016-03,Country 1,99.0,5
2015-11,2016-03,Country 2,48.0,5
2015-12,2015-12,All,354.0,1
2015-12,2015-12,Country 1,154.0,1
2015-12,2015-12,Country 2,200.0,1
2015-12,2016-01,All,251.0,2
2015-12,2016-01,Country 1,126.0,2
2015-12,2016-01,Country 2,125.0,2
2015-12,2016-02,All,198.0,3
2015-12,2016-02,Country 1,104.0,3
2015-12,2016-02,Country 2,94.0,3
2015-12,2016-03,All,154.0,4
2015-12,2016-03,Country 1,83.0,4
2015-12,2016-03,Country 2,71.0,4
2016-01,2016-01,All,700.0,1
2016-01,2016-01,Country 1,199.0,1
2016-01,2016-01,Country 2,501.0,1
2016-01,2016-02,All,624.0,2
2016-01,2016-02,Country 1,169.0,2
2016-01,2016-02,Country 2,455.0,2
2016-01,2016-03,All,581.0,3
2016-01,2016-03,Country 1,186.0,3
2016-01,2016-03,Country 2,395.0,3
2016-02,2016-02,All,717.0,1
2016-02,2016-02,Country 1,291.0,1
2016-02,2016-02,Country 2,426.0,1
2016-02,2016-03,All,711.0,2
2016-02,2016-03,Country 1,350.0,2
2016-02,2016-03,Country 2,361.0,2
2016-03,2016-03,All,740.0,1
2016-03,2016-03,Country 1,294.0,1
2016-03,2016-03,Country 2,446.0,1
